0.00,-0.00,0.00,-0.13,7.90,7.78
0.62,0.74,3.26,-0.12,8.35,8.22
1.04,1.25,4.03,-0.12,8.70,8.57
1.82,2.24,4.62,-0.12,9.60,9.48
2.79,3.34,5.86,-0.12,10.55,10.43
4.16,4.55,7.04,-0.12,11.33,11.21
5.79,5.99,8.06,-0.12,12.61,12.49
7.47,7.72,8.50,-0.12,15.01,14.89
8.67,8.93,8.78,-0.12,16.94,16.82
10.52,10.82,9.43,-0.12,20.31,20.19
12.68,12.75,10.21,-0.12,24.01,23.90
15.13,14.54,9.96,-0.12,27.66,27.55
17.77,15.91,9.51,-0.12,29.46,29.34
20.43,16.70,8.63,-0.12,27.74,27.62
22.95,17.24,8.16,-0.12,26.27,26.15
25.23,17.92,7.40,-0.12,23.98,23.86
27.25,18.76,6.78,-0.12,20.95,20.83
29.04,19.71,6.78,-0.12,17.45,17.33
30.77,20.83,7.27,-0.12,13.30,13.18
32.63,22.03,7.75,-0.12,8.67,8.55
34.68,23.16,8.45,-0.12,3.98,3.86
0,0,0,0,0,0
0.62,0.74,3.26,-0.12,8.35,8.22
1.04,1.25,4.03,-0.12,8.70,8.57
1.59,1.85,4.51,-0.12,9.09,8.97
2.51,2.89,5.45,-0.12,9.95,9.83
3.72,4.10,6.66,-0.12,10.91,10.79
5.13,5.60,7.74,-0.12,12.57,12.45
6.79,7.22,8.36,-0.12,14.52,14.40
7.98,8.40,8.86,-0.12,16.25,16.14
9.89,10.28,9.53,-0.12,19.38,19.27
12.14,12.15,10.55,-0.12,22.69,22.57
14.63,14.20,11.50,-0.12,26.94,26.82
17.34,16.39,11.97,-0.12,27.88,27.77
20.20,18.65,12.89,-0.11,21.88,21.76
23.38,20.93,13.65,-0.11,15.18,15.07
26.99,22.92,14.30,-0.11,8.60,8.49
31.01,24.50,14.91,-0.11,2.31,2.20
0,0,0,0,0,0
0.68,0.81,3.38,-0.12,8.40,8.27
1.37,1.65,4.50,-0.12,9.02,8.90
1.90,2.37,4.69,-0.12,9.77,9.65
2.69,3.64,5.99,-0.12,11.47,11.35
3.56,5.27,6.62,-0.12,14.13,14.02
4.20,6.44,7.18,-0.12,16.12,16.00
4.97,7.65,7.86,-0.12,18.18,18.06
6.28,9.69,8.60,-0.12,21.88,21.76
7.48,11.90,8.00,-0.12,26.50,26.39
8.59,14.01,7.53,-0.12,28.75,28.63
9.59,15.95,6.56,-0.12,24.18,24.06
10.37,17.73,6.25,-0.12,19.76,19.64
11.18,19.43,6.59,-0.12,15.45,15.33
11.90,21.30,6.91,-0.12,10.52,10.40
12.34,23.28,6.53,-0.12,5.00,4.88
0,0,0,0,0,0
0.62,0.74,3.26,-0.12,8.35,8.22
1.29,1.54,4.20,-0.12,8.92,8.80
2.10,2.51,3.90,-0.12,9.73,9.61
2.81,3.34,2.87,-0.12,10.52,10.40
3.43,3.94,2.59,-0.12,10.99,10.86
4.01,4.38,2.01,-0.12,11.14,11.02
4.50,4.75,2.35,-0.12,11.30,11.18
5.06,5.25,3.12,-0.12,11.74,11.61
5.84,5.84,3.71,-0.12,12.15,12.03
6.79,6.40,3.59,-0.12,12.34,12.21
7.71,6.97,3.83,-0.12,12.69,12.57
8.70,7.60,4.21,-0.12,13.21,13.09
9.38,8.10,4.70,-0.12,13.80,13.68
10.09,8.72,5.19,-0.12,14.78,14.66
10.85,9.45,5.54,-0.12,16.08,15.96
11.24,9.83,5.58,-0.12,16.82,16.70
12.45,11.00,6.36,-0.12,19.12,19.00
13.99,12.26,7.27,-0.12,21.65,21.53
15.87,13.36,7.34,-0.12,23.77,23.66
17.83,14.36,7.09,-0.12,25.92,25.80
19.71,15.33,7.02,-0.12,28.27,28.15
21.68,16.16,7.47,-0.12,29.50,29.38
23.84,16.86,7.90,-0.12,27.36,27.24
26.14,17.58,8.52,-0.12,24.81,24.69
28.58,18.33,8.50,-0.12,21.75,21.63
31.06,18.91,8.65,-0.12,18.77,18.66
32.77,19.17,8.61,-0.12,16.95,16.83
34.48,19.28,8.25,-0.12,15.38,15.26
36.91,19.07,7.81,-0.12,13.91,13.79
39.22,18.70,7.62,-0.12,12.63,12.51
41.43,18.37,6.89,-0.12,11.05,10.93
43.46,18.19,6.66,-0.12,8.99,8.87
45.51,17.98,6.30,-0.12,6.75,6.63
47.31,17.89,5.89,-0.12,4.34,4.22
48.53,17.98,5.03,-0.12,2.25,2.13
49.46,18.08,4.36,-0.12,0.54,0.41
0,0,0,0,0,0
1.04,1.25,4.04,-0.12,8.70,8.57
1.85,2.22,4.62,-0.12,9.49,9.37
2.70,3.42,5.64,-0.12,10.91,10.79
3.53,4.84,4.42,-0.12,13.08,12.96
4.03,5.90,2.14,-0.12,15.00,14.87
4.20,6.35,0.03,-0.13,15.89,15.76
0.82,0.98,3.65,-0.12,8.51,8.38
1.57,1.86,4.51,-0.12,9.16,9.03
2.56,2.84,5.43,-0.12,9.75,9.63
3.93,3.86,6.67,-0.12,9.96,9.84
5.67,4.96,7.77,-0.12,10.09,9.97
7.66,6.29,8.78,-0.12,10.89,10.77
9.88,7.80,9.58,-0.12,12.44,12.33
12.17,9.54,10.04,-0.12,15.15,15.04
14.33,11.69,10.83,-0.12,19.78,19.66
16.21,14.42,11.24,-0.12,26.75,26.63
17.78,17.48,12.19,-0.12,24.77,24.66
19.16,20.92,13.05,-0.11,14.87,14.76
20.57,24.62,13.82,-0.11,4.04,3.92
0,0,0,0,0,0
0.82,0.98,3.65,-0.12,8.51,8.38
1.29,1.54,4.40,-0.12,8.92,8.80
2.20,2.51,5.02,-0.12,9.58,9.46
3.41,3.54,6.28,-0.12,10.00,9.88
4.90,4.79,7.42,-0.12,10.81,10.69
6.63,6.29,8.45,-0.12,12.25,12.13
8.44,8.05,8.66,-0.12,14.74,14.62
9.58,9.33,7.68,-0.12,17.04,16.92
10.94,11.18,7.43,-0.12,20.93,20.81
12.33,12.94,7.40,-0.12,24.83,24.72
13.88,14.47,6.79,-0.12,28.19,28.07
15.37,15.83,6.60,-0.12,28.64,28.53
16.85,17.19,6.98,-0.12,25.31,25.19
17.94,18.07,7.38,-0.12,23.06,22.94
19.68,19.49,7.69,-0.12,19.25,19.13
21.38,21.16,8.55,-0.12,14.47,14.36
23.02,23.12,8.51,-0.12,8.63,8.51
24.47,25.22,8.60,-0.12,2.22,2.10
0,0,0,0,0,0
1.04,1.25,4.04,-0.12,8.70,8.57
1.86,2.22,4.92,-0.12,9.48,9.35
2.82,3.35,5.10,-0.12,10.53,10.41
3.53,4.09,5.23,-0.12,11.18,11.06
4.31,4.80,5.53,-0.12,11.75,11.63
5.55,5.97,6.11,-0.12,12.92,12.80
6.43,6.80,6.36,-0.12,13.90,13.78
7.35,7.68,6.56,-0.12,15.07,14.95
8.34,8.57,7.00,-0.12,16.31,16.19
9.94,9.99,7.85,-0.12,18.51,18.40
11.86,11.47,8.94,-0.12,20.97,20.85
14.18,12.94,9.97,-0.12,23.52,23.41
16.79,14.51,10.92,-0.12,26.77,26.65
19.72,16.09,11.81,-0.12,29.43,29.32
22.88,17.80,12.39,-0.11,24.61,24.49
25.92,19.80,11.54,-0.12,18.21,18.09
28.64,21.88,11.01,-0.12,11.16,11.04
30.33,23.29,10.97,-0.12,6.24,6.12
31.97,24.76,11.11,-0.12,1.06,0.94
0,0,0,0,0,0
1.04,1.25,4.04,-0.12,8.70,8.57
1.86,2.21,4.63,-0.12,9.47,9.35
2.80,3.34,5.89,-0.12,10.54,10.42
3.99,4.76,7.08,-0.12,12.13,12.01
5.38,6.39,7.74,-0.12,14.28,14.16
7.04,8.10,8.20,-0.12,16.60,16.48
8.89,9.58,6.63,-0.12,18.49,18.37
10.49,10.47,4.22,-0.12,19.35,19.23
11.60,10.95,3.89,-0.12,19.71,19.59
12.66,11.54,4.58,-0.12,20.51,20.39
13.94,12.15,5.37,-0.12,21.36,21.24
15.42,12.92,6.19,-0.12,22.73,22.61
17.15,13.70,6.65,-0.12,24.20,24.08
19.04,14.54,7.60,-0.12,26.07,25.95
21.12,15.47,7.64,-0.12,28.49,28.37
23.16,16.54,7.73,-0.12,28.35,28.23
25.22,17.55,7.37,-0.12,25.08,24.96
27.32,18.27,7.62,-0.12,22.38,22.26
29.54,18.94,8.18,-0.12,19.51,19.39
31.89,19.66,8.65,-0.12,16.10,15.98
34.38,20.58,9.67,-0.12,11.70,11.58
37.16,21.59,10.61,-0.12,6.49,6.37
40.27,22.69,-2.64,-0.13,0.33,0.20
0.89,1.06,3.76,-0.12,8.56,8.44
